section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,1,1.0,2.0,67.3,64.6,77.8
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,2,2.0,2.0,63.8,59.9,59.9
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,3,3.0,2.0,62.3,59.8,60.1
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,4,4.0,2.0,61.8,60.0,60.1
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,5,5.0,2.0,61.4,59.9,60.0
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,6,6.0,2.0,61.1,59.9,59.7
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,7,7.0,2.0,61.0,60.0,59.9
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,8,8.0,2.0,60.8,59.8,59.8
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,9,9.0,2.0,60.7,60.2,60.1
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,10,10.0,2.0,60.7,60.9,60.6
LYDIT4-8-1000strokes_E1_RE_SEC-05_local,11,11.0,2.0,60.7,44.9,51.8
