section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-5-2000strokes_E1_RE_SEC-02_local,1,1.0,2.0,71.4,72.5,77.7
FLT4-5-2000strokes_E1_RE_SEC-02_local,2,2.0,2.0,70.9,64.1,64.8
FLT4-5-2000strokes_E1_RE_SEC-02_local,3,3.0,2.0,66.5,58.2,58.4
FLT4-5-2000strokes_E1_RE_SEC-02_local,4,4.0,2.0,64.4,58.4,57.8
FLT4-5-2000strokes_E1_RE_SEC-02_local,5,5.0,2.0,63.2,58.2,58.5
FLT4-5-2000strokes_E1_RE_SEC-02_local,6,6.0,2.0,62.3,58.2,58.1
FLT4-5-2000strokes_E1_RE_SEC-02_local,7,7.0,2.0,61.8,57.7,57.5
FLT4-5-2000strokes_E1_RE_SEC-02_local,8,8.0,2.0,61.1,57.6,57.6
FLT4-5-2000strokes_E1_RE_SEC-02_local,9,9.0,2.0,60.8,58.7,58.9
FLT4-5-2000strokes_E1_RE_SEC-02_local,10,10.0,2.0,60.6,58.4,58.2
FLT4-5-2000strokes_E1_RE_SEC-02_local,11,11.0,2.0,60.4,57.6,58.9
