section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,1,1.0,2.0,81.1,76.7,83.1
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,2,2.0,2.0,75.8,67.7,66.2
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,3,3.0,2.0,71.6,61.7,60.6
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,4,4.0,2.0,68.5,59.5,59.8
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,5,5.0,2.0,66.5,59.3,59.3
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,6,6.0,2.0,65.3,59.2,59.3
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,7,7.0,2.0,64.4,59.3,59.3
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,8,8.0,2.0,63.8,59.7,59.6
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,9,9.0,2.0,63.3,52.6,56.3
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,10,10.0,2.0,61.6,21.8,160.4
LYDIT4-7-2000strokes_E1_RE_SEC-06_local,11,11.0,2.0,56.6,0.6,0.7
