section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-6-250strokes_E1_RE_SEC-09_local,1,1.0,2.0,91.6,80.9,76.7
FLT4-6-250strokes_E1_RE_SEC-09_local,2,2.0,2.0,80.0,63.1,63.0
FLT4-6-250strokes_E1_RE_SEC-09_local,3,3.0,2.0,72.4,58.3,58.5
FLT4-6-250strokes_E1_RE_SEC-09_local,4,4.0,2.0,68.9,58.1,58.0
FLT4-6-250strokes_E1_RE_SEC-09_local,5,5.0,2.0,66.5,57.7,57.4
FLT4-6-250strokes_E1_RE_SEC-09_local,6,6.0,2.0,65.1,58.2,58.7
FLT4-6-250strokes_E1_RE_SEC-09_local,7,7.0,2.0,64.1,58.5,58.4
FLT4-6-250strokes_E1_RE_SEC-09_local,8,8.0,2.0,63.4,58.0,57.9
FLT4-6-250strokes_E1_RE_SEC-09_local,9,9.0,2.0,62.8,58.7,59.0
FLT4-6-250strokes_E1_RE_SEC-09_local,10,10.0,2.0,62.4,59.3,59.2
FLT4-6-250strokes_E1_RE_SEC-09_local,11,11.0,2.0,62.1,41.5,49.0
