section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-4-50strokes_E1_RE_SEC-05_local,1,1.0,2.0,72.7,66.3,69.0
FLT4-4-50strokes_E1_RE_SEC-05_local,2,2.0,2.0,65.8,59.4,59.6
FLT4-4-50strokes_E1_RE_SEC-05_local,3,3.0,2.0,63.5,59.0,58.8
FLT4-4-50strokes_E1_RE_SEC-05_local,4,4.0,2.0,62.2,58.9,59.1
FLT4-4-50strokes_E1_RE_SEC-05_local,5,5.0,2.0,61.6,58.6,58.6
FLT4-4-50strokes_E1_RE_SEC-05_local,6,6.0,2.0,61.0,58.4,58.5
FLT4-4-50strokes_E1_RE_SEC-05_local,7,7.0,2.0,60.7,58.7,58.5
FLT4-4-50strokes_E1_RE_SEC-05_local,8,8.0,2.0,60.4,58.4,58.7
FLT4-4-50strokes_E1_RE_SEC-05_local,9,9.0,2.0,60.2,58.6,58.4
FLT4-4-50strokes_E1_RE_SEC-05_local,10,10.0,2.0,60.0,59.1,59.4
FLT4-4-50strokes_E1_RE_SEC-05_local,11,11.0,2.0,60.0,59.5,59.4
