section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-12-50strokes_E1_RE_SEC-04_local,1,1.0,2.0,85.1,72.7,71.3
LYDIT4-12-50strokes_E1_RE_SEC-04_local,2,2.0,2.0,72.1,59.6,59.5
LYDIT4-12-50strokes_E1_RE_SEC-04_local,3,3.0,2.0,67.6,59.7,59.5
LYDIT4-12-50strokes_E1_RE_SEC-04_local,4,4.0,2.0,65.7,62.3,61.8
LYDIT4-12-50strokes_E1_RE_SEC-04_local,5,5.0,2.0,65.4,59.1,59.2
LYDIT4-12-50strokes_E1_RE_SEC-04_local,6,6.0,2.0,63.5,60.8,59.5
LYDIT4-12-50strokes_E1_RE_SEC-04_local,7,7.0,2.0,64.1,59.9,59.9
LYDIT4-12-50strokes_E1_RE_SEC-04_local,8,8.0,2.0,62.6,55.9,55.9
LYDIT4-12-50strokes_E1_RE_SEC-04_local,9,9.0,2.0,62.3,82.9,85.7
LYDIT4-12-50strokes_E1_RE_SEC-04_local,10,10.0,2.0,66.4,105.5,106.7
LYDIT4-12-50strokes_E1_RE_SEC-04_local,11,11.0,2.0,69.7,94.3,100.8
