section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-50strokes_E1_RE_SEC-08_local,1,1.0,2.0,75.1,70.5,73.9
LYDIT4-7-50strokes_E1_RE_SEC-08_local,2,2.0,2.0,69.5,62.0,62.4
LYDIT4-7-50strokes_E1_RE_SEC-08_local,3,3.0,2.0,66.2,59.4,59.4
LYDIT4-7-50strokes_E1_RE_SEC-08_local,4,4.0,2.0,64.3,59.5,59.6
LYDIT4-7-50strokes_E1_RE_SEC-08_local,5,5.0,2.0,63.5,59.8,59.5
LYDIT4-7-50strokes_E1_RE_SEC-08_local,6,6.0,2.0,62.8,59.2,59.2
LYDIT4-7-50strokes_E1_RE_SEC-08_local,7,7.0,2.0,62.3,59.5,59.6
LYDIT4-7-50strokes_E1_RE_SEC-08_local,8,8.0,2.0,62.0,59.6,59.3
LYDIT4-7-50strokes_E1_RE_SEC-08_local,9,9.0,2.0,61.7,59.4,59.8
LYDIT4-7-50strokes_E1_RE_SEC-08_local,10,10.0,2.0,61.5,39.7,46.7
LYDIT4-7-50strokes_E1_RE_SEC-08_local,11,11.0,2.0,58.1,7.8,4.6
