section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-9-50strokes_E1_RE_SEC-02_local,1,1.0,2.0,98.0,76.5,78.5
LYDIT4-9-50strokes_E1_RE_SEC-02_local,2,2.0,2.0,75.7,59.6,60.2
LYDIT4-9-50strokes_E1_RE_SEC-02_local,3,3.0,2.0,69.4,59.6,59.8
LYDIT4-9-50strokes_E1_RE_SEC-02_local,4,4.0,2.0,66.9,60.0,59.7
LYDIT4-9-50strokes_E1_RE_SEC-02_local,5,5.0,2.0,65.4,59.7,59.7
LYDIT4-9-50strokes_E1_RE_SEC-02_local,6,6.0,2.0,64.4,59.5,59.3
LYDIT4-9-50strokes_E1_RE_SEC-02_local,7,7.0,2.0,63.7,59.3,59.3
LYDIT4-9-50strokes_E1_RE_SEC-02_local,8,8.0,2.0,63.0,59.3,59.3
LYDIT4-9-50strokes_E1_RE_SEC-02_local,9,9.0,2.0,62.7,60.0,59.9
LYDIT4-9-50strokes_E1_RE_SEC-02_local,10,10.0,2.0,62.4,60.1,59.9
LYDIT4-9-50strokes_E1_RE_SEC-02_local,11,11.0,2.0,62.2,60.0,60.0
