section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-7-before_E1_RE_SEC-01_local,1,1.0,2.0,67.2,65.1,77.3
FLT4-7-before_E1_RE_SEC-01_local,2,2.0,2.0,63.7,60.2,60.5
FLT4-7-before_E1_RE_SEC-01_local,3,3.0,2.0,62.5,60.6,60.4
FLT4-7-before_E1_RE_SEC-01_local,4,4.0,2.0,62.1,60.4,60.3
FLT4-7-before_E1_RE_SEC-01_local,5,5.0,2.0,61.7,59.6,59.7
FLT4-7-before_E1_RE_SEC-01_local,6,6.0,2.0,61.3,59.7,59.7
FLT4-7-before_E1_RE_SEC-01_local,7,7.0,2.0,61.1,60.0,59.5
FLT4-7-before_E1_RE_SEC-01_local,8,8.0,2.0,60.9,58.9,59.3
FLT4-7-before_E1_RE_SEC-01_local,9,9.0,2.0,60.6,59.0,59.0
FLT4-7-before_E1_RE_SEC-01_local,10,10.0,2.0,60.5,59.7,59.6
FLT4-7-before_E1_RE_SEC-01_local,11,11.0,2.0,60.4,52.8,55.8
