section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-before_E1_RE_SEC-02_local,1,1.0,2.0,69.5,65.3,75.3
LYDIT4-7-before_E1_RE_SEC-02_local,2,2.0,2.0,64.6,59.7,59.5
LYDIT4-7-before_E1_RE_SEC-02_local,3,3.0,2.0,62.8,59.7,59.6
LYDIT4-7-before_E1_RE_SEC-02_local,4,4.0,2.0,62.1,59.8,60.0
LYDIT4-7-before_E1_RE_SEC-02_local,5,5.0,2.0,61.6,59.7,59.5
LYDIT4-7-before_E1_RE_SEC-02_local,6,6.0,2.0,61.3,59.2,59.1
LYDIT4-7-before_E1_RE_SEC-02_local,7,7.0,2.0,60.9,59.3,59.5
LYDIT4-7-before_E1_RE_SEC-02_local,8,8.0,2.0,60.8,59.6,59.7
LYDIT4-7-before_E1_RE_SEC-02_local,9,9.0,2.0,60.6,51.5,55.7
LYDIT4-7-before_E1_RE_SEC-02_local,10,10.0,2.0,59.0,20.1,21.0
