section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-before_E1_RE_SEC-04_local,1,1.0,2.0,66.4,63.7,76.8
LYDIT4-7-before_E1_RE_SEC-04_local,2,2.0,2.0,63.0,59.4,59.7
LYDIT4-7-before_E1_RE_SEC-04_local,3,3.0,2.0,61.7,59.5,59.7
LYDIT4-7-before_E1_RE_SEC-04_local,4,4.0,2.0,61.2,59.9,59.6
LYDIT4-7-before_E1_RE_SEC-04_local,5,5.0,2.0,61.0,59.7,59.9
LYDIT4-7-before_E1_RE_SEC-04_local,6,6.0,2.0,60.7,58.7,59.0
LYDIT4-7-before_E1_RE_SEC-04_local,7,7.0,2.0,60.3,59.1,59.2
LYDIT4-7-before_E1_RE_SEC-04_local,8,8.0,2.0,60.3,59.6,59.4
LYDIT4-7-before_E1_RE_SEC-04_local,9,9.0,2.0,60.2,56.3,58.1
LYDIT4-7-before_E1_RE_SEC-04_local,10,10.0,2.0,59.5,30.6,32.8
LYDIT4-7-before_E1_RE_SEC-04_local,11,11.0,2.0,55.3,2.7,0.5
