section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-3-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,79.9,74.8,78.3
FLT4-3-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,73.7,63.9,62.8
FLT4-3-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,69.0,60.3,60.4
FLT4-3-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,66.8,59.9,59.2
FLT4-3-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,65.3,59.3,59.7
FLT4-3-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,64.3,60.3,60.2
FLT4-3-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,63.9,61.2,60.8
FLT4-3-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,63.5,60.3,64.0
FLT4-3-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,63.1,45.1,43.8
FLT4-3-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,60.1,36.5,32.1
FLT4-3-1000strokes_E1_RE_SEC-02_local,11,11.0,2.0,58.3,24.5,30.7
