section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,1,1.0,2.0,66.9,51.1,62.2
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,2,2.0,2.0,51.1,35.1,35.4
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,3,3.0,2.0,45.3,34.5,34.1
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,4,4.0,2.0,42.5,35.8,36.5
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,5,5.0,2.0,41.4,36.4,36.0
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,6,6.0,2.0,40.4,36.4,36.2
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,7,7.0,2.0,40.0,37.4,37.7
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,8,8.0,2.0,39.7,37.9,37.7
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,9,9.0,2.0,39.5,39.5,39.4
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,10,10.0,2.0,39.6,38.1,41.9
LYDIT1-3-1000strokes_E1_RE_SEC-03_local,11,11.0,2.0,39.2,27.2,24.6
