section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,1,1.0,2.0,95.5,60.9,55.0
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,2,2.0,2.0,60.1,38.3,38.8
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,3,3.0,2.0,51.1,37.6,36.9
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,4,4.0,2.0,47.5,36.3,36.4
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,5,5.0,2.0,44.6,34.3,33.9
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,6,6.0,2.0,42.7,34.7,35.0
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,7,7.0,2.0,41.6,35.9,35.8
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,8,8.0,2.0,40.9,35.0,35.3
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,9,9.0,2.0,40.1,34.0,32.6
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,10,10.0,2.0,39.5,37.8,38.9
LYDIT1-4-1000strokes_E1_RE_SEC-03_local,11,11.0,2.0,39.6,43.7,43.0
