section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,1,1.0,2.0,68.7,65.4,70.7
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,2,2.0,2.0,64.7,60.6,60.2
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,3,3.0,2.0,63.1,59.9,60.0
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,4,4.0,2.0,62.2,59.4,59.6
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,5,5.0,2.0,61.6,58.3,57.6
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,6,6.0,2.0,60.9,59.7,59.5
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,7,7.0,2.0,61.0,62.8,64.3
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,8,8.0,2.0,61.4,53.1,53.3
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,9,9.0,2.0,59.2,38.0,36.8
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,10,10.0,2.0,56.7,33.5,33.8
LYDIT3-3-2000strokes_E1_RE_SEC-03_local,11,11.0,2.0,54.6,28.2,28.8
