section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-3-before_E1_RE_SEC-05_local,1,1.0,2.0,66.0,64.0,75.4
FLT4-3-before_E1_RE_SEC-05_local,2,2.0,2.0,63.3,60.6,60.6
FLT4-3-before_E1_RE_SEC-05_local,3,3.0,2.0,62.3,60.3,60.5
FLT4-3-before_E1_RE_SEC-05_local,4,4.0,2.0,61.8,60.1,59.9
FLT4-3-before_E1_RE_SEC-05_local,5,5.0,2.0,61.4,59.5,59.9
FLT4-3-before_E1_RE_SEC-05_local,6,6.0,2.0,61.0,60.0,59.8
FLT4-3-before_E1_RE_SEC-05_local,7,7.0,2.0,61.0,60.7,60.2
FLT4-3-before_E1_RE_SEC-05_local,8,8.0,2.0,60.9,63.7,70.0
FLT4-3-before_E1_RE_SEC-05_local,9,9.0,2.0,61.6,48.2,47.1
FLT4-3-before_E1_RE_SEC-05_local,10,10.0,2.0,58.6,36.6,33.1
FLT4-3-before_E1_RE_SEC-05_local,11,11.0,2.0,57.1,34.7,43.4
