section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-3-before_E1_RE_SEC-07_local,1,1.0,2.0,67.1,64.6,73.5
FLT4-3-before_E1_RE_SEC-07_local,2,2.0,2.0,64.1,60.9,60.5
FLT4-3-before_E1_RE_SEC-07_local,3,3.0,2.0,62.9,60.3,60.1
FLT4-3-before_E1_RE_SEC-07_local,4,4.0,2.0,62.2,60.0,59.8
FLT4-3-before_E1_RE_SEC-07_local,5,5.0,2.0,61.7,59.9,59.6
FLT4-3-before_E1_RE_SEC-07_local,6,6.0,2.0,61.4,59.6,59.3
FLT4-3-before_E1_RE_SEC-07_local,7,7.0,2.0,61.1,60.8,60.2
FLT4-3-before_E1_RE_SEC-07_local,8,8.0,2.0,61.2,61.8,64.9
FLT4-3-before_E1_RE_SEC-07_local,9,9.0,2.0,61.3,44.5,44.6
FLT4-3-before_E1_RE_SEC-07_local,10,10.0,2.0,58.2,32.5,31.7
FLT4-3-before_E1_RE_SEC-07_local,11,11.0,2.0,56.0,29.9,37.9
