section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,106.5,91.0,90.0
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,89.4,63.1,63.6
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,77.5,48.0,44.2
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,68.7,43.6,43.6
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,63.6,43.7,43.5
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,60.1,43.4,43.6
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,57.6,43.6,43.7
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,55.8,43.6,43.7
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,54.4,43.7,44.1
LYDIT5-9-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,53.3,43.9,43.5
