section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-11-2000strokes_E1_RE_SEC-04_local,1,1.0,2.0,64.1,55.0,66.6
FLT8-11-2000strokes_E1_RE_SEC-04_local,2,2.0,2.0,54.2,44.8,45.0
FLT8-11-2000strokes_E1_RE_SEC-04_local,3,3.0,2.0,50.8,44.8,44.9
FLT8-11-2000strokes_E1_RE_SEC-04_local,4,4.0,2.0,49.4,44.6,44.8
FLT8-11-2000strokes_E1_RE_SEC-04_local,5,5.0,2.0,48.3,44.5,44.5
FLT8-11-2000strokes_E1_RE_SEC-04_local,6,6.0,2.0,47.7,45.0,44.9
FLT8-11-2000strokes_E1_RE_SEC-04_local,7,7.0,2.0,47.3,45.4,45.1
FLT8-11-2000strokes_E1_RE_SEC-04_local,8,8.0,2.0,47.1,45.4,45.2
FLT8-11-2000strokes_E1_RE_SEC-04_local,9,9.0,2.0,46.9,45.5,45.9
FLT8-11-2000strokes_E1_RE_SEC-04_local,10,10.0,2.0,46.8,45.2,45.0
FLT8-11-2000strokes_E1_RE_SEC-04_local,11,11.0,2.0,46.6,45.1,45.3
