section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-7-before_E1_RE_SEC-02_local,1,1.0,2.0,179.6,165.9,170.7
FLT8-7-before_E1_RE_SEC-02_local,2,2.0,2.0,165.7,116.5,109.8
FLT8-7-before_E1_RE_SEC-02_local,3,3.0,2.0,139.6,87.5,88.1
FLT8-7-before_E1_RE_SEC-02_local,4,4.0,2.0,124.1,87.1,86.8
FLT8-7-before_E1_RE_SEC-02_local,5,5.0,2.0,114.9,86.6,86.3
FLT8-7-before_E1_RE_SEC-02_local,6,6.0,2.0,109.1,86.4,86.3
FLT8-7-before_E1_RE_SEC-02_local,7,7.0,2.0,105.2,87.0,86.9
FLT8-7-before_E1_RE_SEC-02_local,8,8.0,2.0,102.5,88.0,87.7
FLT8-7-before_E1_RE_SEC-02_local,9,9.0,2.0,100.6,76.0,79.5
FLT8-7-before_E1_RE_SEC-02_local,10,10.0,2.0,97.0,27.9,25.3
FLT8-7-before_E1_RE_SEC-02_local,11,11.0,2.0,90.0,0.1,0.4
