section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-9-before_E1_RE_SEC-05_local,1,1.0,2.0,50.8,43.9,52.6
FLT8-9-before_E1_RE_SEC-05_local,2,2.0,2.0,43.0,35.5,35.7
FLT8-9-before_E1_RE_SEC-05_local,3,3.0,2.0,40.3,35.4,34.7
FLT8-9-before_E1_RE_SEC-05_local,4,4.0,2.0,39.1,34.9,35.1
FLT8-9-before_E1_RE_SEC-05_local,5,5.0,2.0,38.1,34.9,34.6
FLT8-9-before_E1_RE_SEC-05_local,6,6.0,2.0,37.7,35.6,36.0
FLT8-9-before_E1_RE_SEC-05_local,7,7.0,2.0,37.4,34.9,34.8
FLT8-9-before_E1_RE_SEC-05_local,8,8.0,2.0,37.0,34.7,34.9
FLT8-9-before_E1_RE_SEC-05_local,9,9.0,2.0,36.8,35.1,35.3
FLT8-9-before_E1_RE_SEC-05_local,10,10.0,2.0,36.6,34.8,35.1
FLT8-9-before_E1_RE_SEC-05_local,11,11.0,2.0,36.4,35.9,35.4
