section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-13-before_E1_RE_SEC-02_local,1,1.0,2.0,53.4,44.8,55.2
LYDIT5-13-before_E1_RE_SEC-02_local,2,2.0,2.0,44.4,36.5,36.5
LYDIT5-13-before_E1_RE_SEC-02_local,3,3.0,2.0,41.8,36.3,36.3
LYDIT5-13-before_E1_RE_SEC-02_local,4,4.0,2.0,40.2,35.7,35.9
LYDIT5-13-before_E1_RE_SEC-02_local,5,5.0,2.0,39.3,36.6,36.6
LYDIT5-13-before_E1_RE_SEC-02_local,6,6.0,2.0,39.0,36.3,36.0
LYDIT5-13-before_E1_RE_SEC-02_local,7,7.0,2.0,38.4,36.2,36.2
LYDIT5-13-before_E1_RE_SEC-02_local,8,8.0,2.0,38.3,36.6,36.6
LYDIT5-13-before_E1_RE_SEC-02_local,9,9.0,2.0,38.0,36.4,36.4
LYDIT5-13-before_E1_RE_SEC-02_local,10,10.0,2.0,37.9,36.5,36.4
LYDIT5-13-before_E1_RE_SEC-02_local,11,11.0,2.0,37.8,35.5,35.5
