section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-4-2000strokes_E1_RE_SEC-10_local,1,1.0,2.0,82.3,59.2,63.4
FLT8-4-2000strokes_E1_RE_SEC-10_local,2,2.0,2.0,57.9,35.9,35.6
FLT8-4-2000strokes_E1_RE_SEC-10_local,3,3.0,2.0,50.2,35.5,35.2
FLT8-4-2000strokes_E1_RE_SEC-10_local,4,4.0,2.0,46.1,34.6,34.7
FLT8-4-2000strokes_E1_RE_SEC-10_local,5,5.0,2.0,43.6,34.4,34.2
FLT8-4-2000strokes_E1_RE_SEC-10_local,6,6.0,2.0,42.0,34.8,34.5
FLT8-4-2000strokes_E1_RE_SEC-10_local,7,7.0,2.0,41.0,34.9,34.8
FLT8-4-2000strokes_E1_RE_SEC-10_local,8,8.0,2.0,40.2,34.2,34.7
FLT8-4-2000strokes_E1_RE_SEC-10_local,9,9.0,2.0,39.5,34.5,34.4
FLT8-4-2000strokes_E1_RE_SEC-10_local,10,10.0,2.0,39.0,34.6,34.9
FLT8-4-2000strokes_E1_RE_SEC-10_local,11,11.0,2.0,38.5,34.0,34.4
