section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-3-50strokes_E1_RE_SEC-10_local,1,1.0,2.0,76.7,59.7,58.0
FLT8-3-50strokes_E1_RE_SEC-10_local,2,2.0,2.0,58.8,43.1,42.8
FLT8-3-50strokes_E1_RE_SEC-10_local,3,3.0,2.0,53.6,43.1,43.2
FLT8-3-50strokes_E1_RE_SEC-10_local,4,4.0,2.0,50.7,43.0,43.0
FLT8-3-50strokes_E1_RE_SEC-10_local,5,5.0,2.0,49.3,43.3,42.9
FLT8-3-50strokes_E1_RE_SEC-10_local,6,6.0,2.0,48.2,42.9,43.7
FLT8-3-50strokes_E1_RE_SEC-10_local,7,7.0,2.0,47.4,43.3,43.1
FLT8-3-50strokes_E1_RE_SEC-10_local,8,8.0,2.0,47.0,42.4,41.7
FLT8-3-50strokes_E1_RE_SEC-10_local,9,9.0,2.0,46.3,41.8,42.1
FLT8-3-50strokes_E1_RE_SEC-10_local,10,10.0,2.0,45.9,42.6,42.6
FLT8-3-50strokes_E1_RE_SEC-10_local,11,11.0,2.0,45.6,43.3,43.5
