section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-7-50strokes_E1_RE_SEC-03_local,1,1.0,2.0,57.7,46.4,64.0
LYDIT5-7-50strokes_E1_RE_SEC-03_local,2,2.0,2.0,45.6,35.5,35.6
LYDIT5-7-50strokes_E1_RE_SEC-03_local,3,3.0,2.0,42.2,35.6,35.5
LYDIT5-7-50strokes_E1_RE_SEC-03_local,4,4.0,2.0,40.4,35.6,35.5
LYDIT5-7-50strokes_E1_RE_SEC-03_local,5,5.0,2.0,39.4,35.4,35.9
LYDIT5-7-50strokes_E1_RE_SEC-03_local,6,6.0,2.0,38.7,35.4,35.1
LYDIT5-7-50strokes_E1_RE_SEC-03_local,7,7.0,2.0,38.3,35.8,35.9
LYDIT5-7-50strokes_E1_RE_SEC-03_local,8,8.0,2.0,37.9,35.7,35.6
LYDIT5-7-50strokes_E1_RE_SEC-03_local,9,9.0,2.0,37.7,35.9,35.7
LYDIT5-7-50strokes_E1_RE_SEC-03_local,10,10.0,2.0,37.5,35.6,36.3
LYDIT5-7-50strokes_E1_RE_SEC-03_local,11,11.0,2.0,37.3,35.7,35.4
