section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-2-before_E1_RE_SEC-09_local,1,1.0,2.0,61.1,54.1,68.6
FLT8-2-before_E1_RE_SEC-09_local,2,2.0,2.0,53.2,46.0,45.8
FLT8-2-before_E1_RE_SEC-09_local,3,3.0,2.0,50.8,45.5,45.7
FLT8-2-before_E1_RE_SEC-09_local,4,4.0,2.0,49.2,44.8,45.4
FLT8-2-before_E1_RE_SEC-09_local,5,5.0,2.0,48.4,45.6,46.0
FLT8-2-before_E1_RE_SEC-09_local,6,6.0,2.0,48.0,46.3,45.7
FLT8-2-before_E1_RE_SEC-09_local,7,7.0,2.0,47.8,45.9,45.6
FLT8-2-before_E1_RE_SEC-09_local,8,8.0,2.0,47.5,45.7,46.1
FLT8-2-before_E1_RE_SEC-09_local,9,9.0,2.0,47.3,45.6,45.5
FLT8-2-before_E1_RE_SEC-09_local,10,10.0,2.0,47.1,45.5,46.3
FLT8-2-before_E1_RE_SEC-09_local,11,11.0,2.0,47.0,46.5,45.3
