section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-7-before_E1_RE_SEC-01_local,1,1.0,2.0,74.3,53.1,54.6
LYDIT5-7-before_E1_RE_SEC-01_local,2,2.0,2.0,52.6,34.4,34.3
LYDIT5-7-before_E1_RE_SEC-01_local,3,3.0,2.0,46.0,34.2,34.7
LYDIT5-7-before_E1_RE_SEC-01_local,4,4.0,2.0,43.0,34.3,34.4
LYDIT5-7-before_E1_RE_SEC-01_local,5,5.0,2.0,41.1,34.5,34.6
LYDIT5-7-before_E1_RE_SEC-01_local,6,6.0,2.0,40.0,34.9,34.7
LYDIT5-7-before_E1_RE_SEC-01_local,7,7.0,2.0,39.3,35.1,34.6
LYDIT5-7-before_E1_RE_SEC-01_local,8,8.0,2.0,38.8,34.6,34.7
LYDIT5-7-before_E1_RE_SEC-01_local,9,9.0,2.0,38.2,34.8,34.9
LYDIT5-7-before_E1_RE_SEC-01_local,10,10.0,2.0,38.0,34.5,34.9
LYDIT5-7-before_E1_RE_SEC-01_local,11,11.0,2.0,37.5,35.0,35.0
